symbol,sector,industry_group,industry,sub_industry,name,index
DOCN,Information Technology,,,Internet Services & Infrastructure,DigitalOcean,sp400
DOCS,Health Care,,,Health Care Technology,Doximity,sp400
DOCU,Information Technology,,,Application Software,Docusign,sp400
DT,Information Technology,,,Application Software,Dynatrace,sp400
DTM,Energy,,,Oil & Gas Storage & Transportation,DT Midstream,sp400
DUOL,Consumer Discretionary,,,Education Services,Duolingo,sp400
DY,Industrials,,,Construction & Engineering,Dycom Industries,sp400
EEFT,Financials,,,Transaction & Payment Processing Services,Euronet Worldwide,sp400
EGP,Real Estate,,,Industrial REITs,EastGroup Properties,sp400
EHC,Health Care,,,Health Care Facilities,Encompass Health,sp400
ELAN,Health Care,,,Pharmaceuticals,Elanco,sp400
ELF,Consumer Staples,,,Personal Care Products,e.l.f. Beauty,sp400
ELS,Real Estate,,,Single-Family Residential REITs,Equity Lifestyle Properties,sp400
ENS,Industrials,,,Electrical Components & Equipment,EnerSys,sp400
ENSG,Health Care,,,Health Care Facilities,Ensign Group,sp400
ENTG,Information Technology,,,Semiconductor Materials & Equipment,Entegris,sp400
EPR,Real Estate,,,Other Specialized REITs,EPR Properties,sp400
EQH,Financials,,,Diversified Financial Services,Equitable Holdings,sp400
ESAB,Industrials,,,Industrial Machinery & Supplies & Components,ESAB,sp400
ESNT,Financials,,,Commercial & Residential Mortgage Finance,Essent Group Ltd.,sp400
EVR,Financials,,,Investment Banking & Brokerage,Evercore,sp400
EWBC,Financials,,,Regional Banks,East West Bancorp,sp400
EXEL,Health Care,,,Biotechnology,Exelixis,sp400
EXLS,Industrials,,,Data Processing & Outsourced Services,EXL Service,sp400
EXP,Materials,,,Construction Materials,Eagle Materials,sp400
EXPO,Industrials,,,Research & Consulting Services,"Exponent, Inc.",sp400
FAF,Financials,,,Property & Casualty Insurance,First American Financial Corporation,sp400
FBIN,Industrials,,,Building Products,Fortune Brands Innovations,sp400
FCFS,Financials,,,Consumer Finance,FirstCash,sp400
FCN,Industrials,,,Research & Consulting Services,FTI Consulting,sp400
FFIN,Financials,,,Regional Banks,First Financial Bankshares,sp400
FHI,Financials,,,Asset Management & Custody Banks,Federated Hermes,sp400
FHN,Financials,,,Regional Banks,First Horizon,sp400
FIVE,Consumer Discretionary,,,Specialty Stores,Five Below,sp400
FLG,Financials,,,Regional Banks,Flagstar Bank,sp400
FLR,Industrials,,,Construction & Engineering,Fluor,sp400
FLS,Industrials,,,Industrial Machinery & Supplies & Components,Flowserve,sp400
FN,Information Technology,,,Electronic Manufacturing Services,Fabrinet,sp400
FNB,Financials,,,Regional Banks,FNB Corporation,sp400
FND,Consumer Discretionary,,,Home Improvement Retail,Floor & Decor,sp400
FNF,Financials,,,Property & Casualty Insurance,Fidelity National Financial,sp400
FOUR,Financials,,,Transaction & Payment Processing Services,Shift4,sp400
FR,Real Estate,,,Industrial REITs,First Industrial Realty Trust,sp400
FTI,Energy,,,Oil & Gas Equipment & Services,TechnipFMC,sp400
G,Industrials,,,Data Processing & Outsourced Services,Genpact,sp400
GAP,Consumer Discretionary,,,Apparel Retail,Gap Inc.,sp400
GATX,Industrials,,,Construction Machinery & Heavy Transportation Equipment,GATX,sp400
GBCI,Financials,,,Regional Banks,Glacier Bancorp,sp400
GEF,Materials,,,"Metal, Glass & Plastic Containers","Greif, Inc.",sp400
GGG,Industrials,,,Industrial Machinery & Supplies & Components,Graco Inc.,sp400
GHC,Consumer Discretionary,,,Education Services,Graham Holdings,sp400
GLPI,Real Estate,,,Other Specialized REITs,Gaming and Leisure Properties,sp400
GME,Consumer Discretionary,,,Computer & Electronics Retail,GameStop,sp400
GMED,Health Care,,,Health Care Equipment,Globus Medical,sp400
GNTX,Consumer Discretionary,,,Automotive Parts & Equipment,Gentex,sp400
GPK,Materials,,,Paper & Plastic Packaging Products & Materials,Graphic Packaging,sp400
GT,Consumer Discretionary,,,Tires & Rubber,Goodyear Tire & Rubber,sp400
GTLS,Industrials,,,Industrial Machinery & Supplies & Components,Chart Industries,sp400
GWRE,Information Technology,,,Application Software,Guidewire Software,sp400
GXO,Industrials,,,Air Freight & Logistics,GXO Logistics,sp400
H,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Hyatt,sp400
HAE,Health Care,,,Health Care Supplies,Haemonetics,sp400
HALO,Health Care,,,Biotechnology,Halozyme,sp400
HGV,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Hilton Grand Vacations,sp400
HIMS,Health Care,,,Health Care Services,Hims & Hers Health,sp400
HL,Materials,,,Silver,Hecla Mining,sp400
HLI,Financials,,,Investment Banking & Brokerage,Houlihan Lokey,sp400
HLNE,Financials,,,Asset Management & Custody Banks,Hamilton Lane,sp400
HOG,Consumer Discretionary,,,Motorcycle Manufacturers,Harley-Davidson,sp400
HOMB,Financials,,,Regional Banks,Home BancShares,sp400
HQY,Health Care,,,Managed Health Care,HealthEquity,sp400
HR,Real Estate,,,Health Care REITs,Healthcare Realty Trust,sp400
HRB,Consumer Discretionary,,,Specialized Consumer Services,H&R Block,sp400
HWC,Financials,,,Regional Banks,Hancock Whitney,sp400
HXL,Industrials,,,Aerospace & Defense,Hexcel,sp400
IBOC,Financials,,,Regional Banks,Intl Bancshares Corp,sp400
IDA,Utilities,,,Electric Utilities,Idacorp,sp400
IDCC,Information Technology,,,Communications Equipment,InterDigital,sp400
ILMN,Health Care,,,Life Sciences Tools & Services,"Illumina, Inc.",sp400
INGR,Consumer Staples,,,Agricultural Products & Services,Ingredion,sp400
IPGP,Information Technology,,,Electronic Manufacturing Services,IPG Photonics,sp400
IRT,Real Estate,,,Multi-Family Residential REITs,IRT Living,sp400
ITT,Industrials,,,Industrial Machinery & Supplies & Components,ITT Inc.,sp400
JAZZ,Health Care,,,Pharmaceuticals,Jazz Pharmaceuticals,sp400
JEF,Financials,,,Multi-Sector Holdings,Jefferies,sp400
JHG,Financials,,,Asset Management & Custody Banks,Janus Henderson,sp400
JLL,Real Estate,,,Real Estate Services,Jones Lang LaSalle,sp400
KBH,Consumer Discretionary,,,Homebuilding,KB Home,sp400
KBR,Industrials,,,Diversified Support Services,"KBR, Inc.",sp400
KD,Information Technology,,,IT Consulting & Other Services,Kyndryl,sp400
KEX,Industrials,,,Marine Transportation,Kirby Corporation,sp400
KNF,Materials,,,Construction Materials,Knife River Corporation,sp400
KNSL,Financials,,,Property & Casualty Insurance,Kinsale Capital Group,sp400
KNX,Industrials,,,Cargo Ground Transportation,Knight-Swift,sp400
KRC,Real Estate,,,Office REITs,Kilroy Realty Corp,sp400
KRG,Real Estate,,,Retail REITs,Kite Realty Group Trust,sp400
KTOS,Industrials,,,Aerospace & Defense,Kratos Defense & Security Solutions,sp400
LAD,Consumer Discretionary,,,Automotive Retail,Lithia Motors,sp400
LAMR,Real Estate,,,Other Specialized REITs,Lamar Advertising Company,sp400
LEA,Consumer Discretionary,,,Automotive Parts & Equipment,Lear,sp400
LECO,Industrials,,,Industrial Machinery & Supplies & Components,Lincoln Electric,sp400
LFUS,Information Technology,,,Electronic Components,Littelfuse,sp400
LIVN,Health Care,,,Health Care Equipment,LivaNova,sp400
LNTH,Health Care,,,Health Care Supplies,Lantheus Holdings,sp400
LOPE,Consumer Discretionary,,,Education Services,Grand Canyon Education,sp400
LPX,Materials,,,Forest Products,Louisiana-Pacific,sp400
LSCC,Information Technology,,,Semiconductors,Lattice Semiconductor,sp400
LSTR,Industrials,,,Cargo Ground Transportation,Landstar System,sp400
M,Consumer Discretionary,,,Broadline Retail,Macy's,sp400
MANH,Information Technology,,,Application Software,Manhattan Associates,sp400
MAT,Consumer Discretionary,,,Leisure Products,Mattel,sp400
MEDP,Health Care,,,Life Sciences Tools & Services,Medpace,sp400
MIDD,Industrials,,,Industrial Machinery & Supplies & Components,Middleby,sp400
MKSI,Information Technology,,,Semiconductor Materials & Equipment,MKS Instruments,sp400
MLI,Industrials,,,Industrial Machinery & Supplies & Components,Mueller Industries,sp400
MMS,Industrials,,,Data Processing & Outsourced Services,Maximus Inc.,sp400
MOG-A,Industrials,,,Aerospace & Defense,Moog Inc.,sp400
MORN,Financials,,,Financial Exchanges & Data,"Morningstar, Inc.",sp400
MP,Materials,,,Diversified Metals & Mining,MP Materials,sp400
MSA,Industrials,,,Office Services & Supplies,MSA Safety,sp400
MSM,Industrials,,,Trading Companies & Distributors,MSC Industrial Direct,sp400
MTDR,Energy,,,Oil & Gas Exploration & Production,Matador Resources,sp400
MTG,Financials,,,Reinsurance,MGIC Investment Corporation,sp400
MTN,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Vail Resorts,sp400
MTSI,Information Technology,,,Semiconductors,MACOM Technology Solutions,sp400
MTZ,Industrials,,,Construction & Engineering,MasTec,sp400
MUR,Energy,,,Oil & Gas Exploration & Production,Murphy Oil,sp400
MUSA,Consumer Discretionary,,,Automotive Retail,Murphy USA,sp400
MZTI,Consumer Staples,,,Packaged Foods & Meats,The Marzetti Company,sp400
NBIX,Health Care,,,Biotechnology,Neurocrine Biosciences,sp400
NEU,Materials,,,Specialty Chemicals,NewMarket Corporation,sp400
NFG,Utilities,,,Gas Utilities,National Fuel Gas,sp400
NJR,Utilities,,,Gas Utilities,New Jersey Resources,sp400
NLY,Financials,,,Mortgage REITs,Annaly Capital Management,sp400
NNN,Real Estate,,,Retail REITs,NNN Reit,sp400
NOV,Energy,,,Oil & Gas Equipment & Services,NOV Inc.,sp400
NOVT,Information Technology,,,Electronic Equipment & Instruments,Novanta,sp400
NSA,Real Estate,,,Self-Storage REITs,National Storage Affiliates Trust,sp400
NTNX,Information Technology,,,Systems Software,Nutanix,sp400
NVST,Health Care,,,Health Care Supplies,Envista Holdings,sp400
NVT,Industrials,,,Electrical Components & Equipment,nVent Electric plc,sp400
NWE,Utilities,,,Multi-Utilities,NorthWestern Energy,sp400
NXST,Communication Services,,,Broadcasting,Nexstar Media Group,sp400
NXT,Industrials,,,Electrical Components & Equipment,Nextpower,sp400
NYT,Communication Services,,,Publishing,New York Times Company,sp400
OC,Industrials,,,Building Products,Owens Corning,sp400
OGE,Utilities,,,Multi-Utilities,OGE Energy,sp400
OGS,Utilities,,,Gas Utilities,One Gas,sp400
OHI,Real Estate,,,Health Care REITs,Omega Healthcare Investors,sp400
OKTA,Information Technology,,,Application Software,"Okta, Inc.",sp400
OLED,Information Technology,,,Semiconductors,Universal Display,sp400
OLLI,Consumer Discretionary,,,Broadline Retail,Ollie's Bargain Outlet,sp400
OLN,Materials,,,Diversified Chemicals,Olin Corporation,sp400
ONB,Financials,,,Regional Banks,Old National Bank,sp400
ONTO,Information Technology,,,Semiconductor Materials & Equipment,Onto Innovation,sp400
OPCH,Health Care,,,Health Care Facilities,Option Care Health,sp400
ORA,Utilities,,,Renewable Electricity,Ormat Technologies,sp400
ORI,Financials,,,Property & Casualty Insurance,Old Republic International,sp400
OSK,Industrials,,,Construction Machinery & Heavy Transportation Equipment,Oshkosh,sp400
OVV,Energy,,,Oil & Gas Exploration & Production,Ovintiv,sp400
OZK,Financials,,,Regional Banks,Bank OZK,sp400
P,Information Technology,,,"Technology Hardware, Storage & Peripherals",Everpure,sp400
PAG,Consumer Discretionary,,,Automotive Retail,Penske Automotive Group,sp400
PATH,Information Technology,,,Systems Software,UiPath,sp400
PB,Financials,,,Regional Banks,Prosperity Bancshares,sp400
PBF,Energy,,,Oil & Gas Refining & Marketing,PBF Energy,sp400
PCTY,Industrials,,,Human Resource & Employment Services,Paylocity,sp400
PEGA,Information Technology,,,Application Software,Pegasystems,sp400
PEN,Health Care,,,Health Care Equipment,"Penumbra, Inc.",sp400
PFGC,Consumer Staples,,,Food Distributors,Performance Food Group,sp400
PII,Consumer Discretionary,,,Leisure Products,Polaris,sp400
PINS,Communication Services,,,,Pinterest,sp400
PK,Real Estate,,,Hotel & Resort REITs,Park Hotels & Resorts,sp400
PLNT,Consumer Discretionary,,,Leisure Facilities,Planet Fitness,sp400
PNFP,Financials,,,Regional Banks,Pinnacle Financial Partners,sp400
POR,Utilities,,,Electric Utilities,Portland General Electric,sp400
POST,Consumer Staples,,,Packaged Foods & Meats,Post Holdings,sp400
PPC,Consumer Staples,,,Packaged Foods & Meats,Pilgrim's Pride,sp400
PR,Energy,,,Oil & Gas Exploration & Production,Permian Resources,sp400
PRI,Financials,,,Life & Health Insurance,Primerica,sp400
PSN,Industrials,,,Aerospace & Defense,Parsons Corporation,sp400
PVH,Consumer Discretionary,,,"Apparel, Accessories & Luxury Goods",PVH Corp.,sp400
QLYS,Information Technology,,,Systems Software,Qualys,sp400
R,Industrials,,,Cargo Ground Transportation,Ryder,sp400
RBA,Industrials,,,Diversified Support Services,RB Global,sp400
RBC,Industrials,,,Industrial Machinery & Supplies & Components,RBC Bearings,sp400
REXR,Real Estate,,,Industrial REITs,Rexford Industrial Realty,sp400
RGA,Financials,,,Reinsurance,Reinsurance Group of America,sp400
RGEN,Health Care,,,Biotechnology,Repligen,sp400
RGLD,Materials,,,Gold,Royal Gold,sp400
RH,Consumer Discretionary,,,Homefurnishing Retail,RH,sp400
RLI,Financials,,,Property & Casualty Insurance,RLI Corp.,sp400
RMBS,Information Technology,,,Semiconductors,Rambus,sp400
RNR,Financials,,,Reinsurance,RenaissanceRe,sp400
ROIV,Health Care,,,Biotechnology,Roivant Sciences,sp400
ROKU,Communication Services,,,Movies & Entertainment,"Roku, Inc.",sp400
RPM,Materials,,,Specialty Chemicals,RPM International,sp400
RRC,Energy,,,Oil & Gas Exploration & Production,Range Resources,sp400
RRX,Industrials,,,Electrical Components & Equipment,Regal Rexnord,sp400
RS,Materials,,,Steel,"Reliance, Inc.",sp400
RYAN,Financials,,,Insurance Brokers,Ryan Specialty,sp400
RYN,Real Estate,,,Timber REITs,Rayonier,sp400
SAIA,Industrials,,,Cargo Ground Transportation,Saia,sp400
SAIC,Industrials,,,Diversified Support Services,Science Applications Intl Corp,sp400
SAM,Consumer Staples,,,Brewers,Boston Beer Company,sp400
SANM,Information Technology,,,Electronic Manufacturing Services,Sanmina Corporation,sp400
SARO,Industrials,,,Aerospace & Defense,StandardAero,sp400
SBRA,Real Estate,,,Health Care REITs,Sabra Health Care REIT,sp400
SCI,Consumer Discretionary,,,Specialized Consumer Services,Service Corp Intl,sp400
SEIC,Financials,,,Asset Management & Custody Banks,SEI Investments Company,sp400
SF,Financials,,,Investment Banking & Brokerage,Stifel,sp400
SFM,Consumer Staples,,,Food Retail,Sprouts Farmers Market,sp400
SGI,Consumer Discretionary,,,Home Furnishings,Somnigroup International,sp400
SHC,Health Care,,,Health Care Services,Sotera Health,sp400
SIGI,Financials,,,Property & Casualty Insurance,Selective Insurance Group,sp400
SIRI,Communication Services,,,Broadcasting,SiriusXM,sp400
SITM,Information Technology,,,Semiconductors,SiTime,sp400
SLAB,Information Technology,,,Semiconductors,Silicon Labs,sp400
SLGN,Materials,,,"Metal, Glass & Plastic Containers",Silgan Holdings,sp400
SLM,Financials,,,Consumer Finance,SLM Corp,sp400
SMG,Materials,,,Fertilizers & Agricultural Chemicals,Scotts Miracle-Gro Company,sp400
SMTC,Information Technology,,,Semiconductors,Semtech,sp400
SN,Consumer Discretionary,,,Household Appliances,SharkNinja,sp400
SNX,Information Technology,,,Technology Distributors,TD Synnex,sp400
SOLS,Materials,,,Specialty Chemicals,Solstice Advanced Materials,sp400
SON,Materials,,,Paper & Plastic Packaging Products & Materials,Sonoco,sp400
SPXC,Industrials,,,Industrial Machinery & Supplies & Components,SPX Technologies,sp400
SR,Utilities,,,Gas Utilities,Spire,sp400
SSB,Financials,,,Regional Banks,South State Bank,sp400
SSD,Industrials,,,Building Products,Simpson Manufacturing,sp400
ST,Industrials,,,Electrical Components & Equipment,Sensata Technologies,sp400
STAG,Real Estate,,,Industrial REITs,STAG Industrial,sp400
STRL,Industrials,,,Construction & Engineering,Sterling Infrastructure,sp400
STWD,Financials,,,Mortgage REITs,Starwood Property Trust,sp400
SWX,Utilities,,,Gas Utilities,Southwest Gas Corp,sp400
SYNA,Information Technology,,,Semiconductors,Synaptics,sp400
TCBI,Financials,,,Regional Banks,Texas Capital Bancshares,sp400
TEX,Industrials,,,Construction Machinery & Heavy Transportation Equipment,Terex,sp400
THC,Health Care,,,Health Care Facilities,Tenet Health,sp400
THG,Financials,,,Property & Casualty Insurance,Hanover Insurance,sp400
THO,Consumer Discretionary,,,Leisure Products,Thor Industries,sp400
TKR,Industrials,,,Industrial Machinery & Supplies & Components,Timken,sp400
TLN,Utilities,,,Independent Power Producers & Energy Traders,Talen Energy,sp400
TMHC,Consumer Discretionary,,,Homebuilding,Taylor Morrison,sp400
TNL,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Travel + Leisure Co.,sp400
TOL,Consumer Discretionary,,,Homebuilding,Toll Brothers,sp400
TREX,Industrials,,,Building Products,Trex,sp400
TRU,Industrials,,,Research & Consulting Services,TransUnion,sp400
TTC,Industrials,,,Agricultural & Farm Machinery,Toro,sp400
TTEK,Industrials,,,Construction & Engineering,Tetra Tech,sp400
TTMI,Information Technology,,,Electronic Manufacturing Services,TTM Technologies,sp400
TWLO,Information Technology,,,Systems Software,Twilio,sp400
TXNM,Utilities,,,Electric Utilities,TXNM Energy,sp400
TXRH,Consumer Discretionary,,,Restaurants,Texas Roadhouse,sp400
UBSI,Financials,,,Regional Banks,United Bankshares,sp400
UFPI,Industrials,,,Building Products,UFP Industries,sp400
UGI,Utilities,,,Gas Utilities,UGI Corp,sp400
ULS,Industrials,,,,UL Solutions,sp400
UMBF,Financials,,,Regional Banks,UMB Financial Corp.,sp400
UNM,Financials,,,Life & Health Insurance,Unum,sp400
USFD,Consumer Staples,,,Food Distributors,US Foods,sp400
UTHR,Health Care,,,Biotechnology,United Therapeutics,sp400
VAL,Energy,,,Oil & Gas Drilling,Valaris,sp400
VC,Consumer Discretionary,,,Automotive Parts & Equipment,Visteon,sp400
VFC,Consumer Discretionary,,,"Apparel, Accessories & Luxury Goods",VF Corporation,sp400
VIAV,Information Technology,,,Communications Equipment,Viavi Solutions,sp400
VICR,Industrials,,,Electrical Components & Equipment,Vicor Corporation,sp400
VLY,Financials,,,Regional Banks,Valley Bank,sp400
VMI,Industrials,,,Industrial Machinery & Supplies & Components,Valmont Industries,sp400
VNO,Real Estate,,,Office REITs,Vornado Realty Trust,sp400
VNOM,Energy,,,Oil & Gas Storage & Transportation,Viper Energy,sp400
VNT,Information Technology,,,Electronic Equipment & Instruments,Vontier,sp400
VOYA,Financials,,,Multi-Sector Holdings,Voya Financial,sp400
VVV,Consumer Discretionary,,,Automotive Retail,Valvoline,sp400
WAL,Financials,,,Regional Banks,Western Alliance Bancorporation,sp400
WBS,Financials,,,Regional Banks,Webster Bank,sp400
WCC,Industrials,,,Trading Companies & Distributors,WESCO International,sp400
WEX,Financials,,,Transaction & Payment Processing Services,WEX Inc.,sp400
WFRD,Energy,,,Oil & Gas Equipment & Services,Weatherford International,sp400
WH,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Wyndham Hotels & Resorts,sp400
WHR,Consumer Discretionary,,,Household Appliances,Whirlpool Corporation,sp400
WING,Consumer Discretionary,,,Restaurants,Wingstop,sp400
WLK,Materials,,,Specialty Chemicals,Westlake Corporation,sp400
WMG,Communication Services,,,Movies & Entertainment,Warner Music Group,sp400
WMS,Industrials,,,Building Products,Advanced Drainage Systems,sp400
WPC,Real Estate,,,Diversified REITs,W. P. Carey,sp400
WSO,Industrials,,,Trading Companies & Distributors,Watsco,sp400
WTFC,Financials,,,Regional Banks,Wintrust Financial,sp400
WTRG,Utilities,,,Water Utilities,Essential Utilities,sp400
WTS,Industrials,,,Building Products,Watts Water Technologies,sp400
WWD,Industrials,,,Electrical Components & Equipment,"Woodward, Inc.",sp400
XPO,Industrials,,,Cargo Ground Transportation,"XPO, Inc.",sp400
XRAY,Health Care,,,Health Care Supplies,Dentsply Sirona,sp400
YETI,Consumer Discretionary,,,Leisure Products,Yeti Holdings,sp400
ZION,Financials,,,Regional Banks,Zions Bancorporation,sp400
AAMI,Financials,,,Asset Management & Custody Banks,Acadian Asset Management Inc.,sp600
AAP,Consumer Discretionary,,,Automotive Retail,"Advance Auto Parts, Inc.",sp600
AAT,Real Estate,,,Diversified REITs,American Assets Trust,sp600
ABCB,Financials,,,Regional Banks,Ameris Bancorp,sp600
ABG,Consumer Discretionary,,,Automotive Retail,Asbury Automotive Group,sp600
ABM,Industrials,,,Environmental & Facilities Services,"ABM Industries, Inc.",sp600
ABR,Financials,,,Mortgage REITs,Arbor Realty Trust,sp600
ACA,Industrials,,,Construction & Engineering,"Arcosa, Inc.",sp600
ACAD,Health Care,,,Pharmaceuticals,Acadia Pharmaceuticals,sp600
ACHC,Health Care,,,Health Care Facilities,Acadia Healthcare,sp600
ACIW,Information Technology,,,Application Software,ACI Worldwide,sp600
ACLS,Information Technology,,,Semiconductor Materials & Equipment,"Axcelis Technologies, Inc.",sp600
ACMR,Information Technology,,,Semiconductor Materials & Equipment,"ACM Research, Inc.",sp600
ACT,Financials,,,Commercial & Residential Mortgage Finance,"Enact Holdings, Inc.",sp600
ADAM,Real Estate,,,Mortgage REITs,"Adamas Trust, Inc.",sp600
ADEA,Information Technology,,,IT Consulting & Other Services,"Adeia, Inc.",sp600
ADMA,Health Care,,,Biotechnology,"ADMA Biologics, Inc.",sp600
ADNT,Consumer Discretionary,,,Automotive Parts & Equipment,Adient,sp600
ADT,Consumer Discretionary,,,Specialized Consumer Services,ADT Inc.,sp600
ADUS,Health Care,,,Health Care Services,Addus HomeCare Corp.,sp600
AEO,Consumer Discretionary,,,Apparel Retail,American Eagle Outfitters,sp600
AESI,Energy,,,Oil & Gas Equipment & Services,"Atlas Energy Solutions, Inc.",sp600
AGNT,Real Estate,,,Real Estate Services,"eXp World Holdings, Inc.",sp600
AGO,Financials,,,Property & Casualty Insurance,Assured Guaranty Ltd.,sp600
AGX,Industrials,,,Construction & Engineering,"Argan, Inc.",sp600
AGYS,Information Technology,,,Application Software,"Agilysys, Inc.",sp600
AHCO,Health Care,,,Health Care Equipment,AdaptHealth Corp.,sp600
AIN,Industrials,,,Industrial Machinery & Supplies & Components,Albany International Corp.,sp600
AIR,Industrials,,,Aerospace & Defense,AAR CORP.,sp600
AKR,Real Estate,,,Retail REITs,Acadia Realty Trust,sp600
ALG,Industrials,,,Construction Machinery & Heavy Transportation Equipment,Alamo Group,sp600
ALGT,Industrials,,,Passenger Airlines,Allegiant Travel Company,sp600
ALHC,Health Care,,,Health Care Services,"Alignment Healthcare, Inc.",sp600
ALKS,Health Care,,,Pharmaceuticals,Alkermes plc,sp600
ALRM,Financials,,,Application Software,"Alarm.Com, Inc.",sp600
AMN,Health Care,,,Health Care Services,"Amn Healthcare Services, Inc.",sp600
AMPH,Health Care,,,Pharmaceuticals,"Amphstar Pharmaceuticals, Inc.",sp600
AMR,Materials,,,Steel,"Alpha Metallurgical Resources, Inc.",sp600
AMRX,Health Care,,,Pharmaceuticals,Amneal Pharmaceuticals,sp600
AMSF,Financials,,,Property & Casualty Insurance,"Amerisafe, Inc.",sp600
AMTM,Industrials,,,Diversified Support Services,Amentum,sp600
ANDE,Consumer Staples,,,Food Distributors,"The Andersons, Inc.",sp600
ANIP,Health Care,,,Pharmaceuticals,"ANI Pharmaceuticals, Inc.",sp600
AORT,Health Care,,,Health Care Equipment,Artivion,sp600
AOSL,Information Technology,,,Semiconductors,"Alpha and Omega Semiconductor, Ltd.",sp600
APAM,Financials,,,Asset Management & Custody Banks,"Artisan Partners Asset Management, Inc.",sp600
APLE,Real Estate,,,Hotel & Resort REITs,"Apple Hospitality REIT, Inc.",sp600
APOG,Industrials,,,Building Products,"Apogee Enterprises, Inc.",sp600
ARCB,Industrials,,,Cargo Ground Transportation,ArcBest Corp.,sp600
ARI,Real Estate,,,Mortgage REITs,Apollo Commercial Real Estate Finance,sp600
ARLO,Information Technology,,,Communications Equipment,Arlo Technologies,sp600
AROC,Energy,,,Oil & Gas Equipment & Services,"Archrock, Inc.",sp600
ARR,Real Estate,,,Mortgage REITs,Armour Residential REIT,sp600
ASO,Consumer Discretionary,,,Specialty Stores,Academy Sports + Outdoors,sp600
ASTE,Industrials,,,Construction Machinery & Heavy Transportation Equipment,"Astec Industries, Inc.",sp600
ASTH,Health Care,,,Health Care Facilities,"Astrana Health, Inc.",sp600
ATEN,Information Technology,,,Systems Software,"A10 Networks, Inc.",sp600
ATMU,Industrials,,,Industrial Machinery & Supplies & Components,Atmus Filtration Technologies Inc.,sp600
AUB,Financials,,,Regional Banks,"Atlantic Union Bankshares, Corp.",sp600
AVA,Utilities,,,Multi-Utilities,Avista Corporation,sp600
AVNS,Health Care,,,Health Care Supplies,"Avanos Medical, Inc.",sp600
AWI,Industrials,,,Building Products,"Armstrong World Industries, Inc.",sp600
AWR,Utilities,,,Water Utilities,American States Water Company,sp600
AX,Financials,,,Regional Banks,"Axos Financial, Inc.",sp600
AZTA,Health Care,,,Life Sciences Tools & Services,"Azenta, Inc.",sp600
AZZ,Industrials,,,Heavy Electrical Equipment,"AZZ, Inc.",sp600
BANC,Financials,,,Regional Banks,"Banc Of California, Inc.",sp600
BANF,Financials,,,Regional Banks,Bancfirst Corp,sp600
BANR,Financials,,,Regional Banks,Banner Corporation,sp600
BBT,Financials,,,Regional Banks,Beacon Financial Corp.,sp600
BCC,Industrials,,,Building Products,Boise Cascade,sp600
BCPC,Materials,,,Specialty Chemicals,Balchem Corporation,sp600
BFAM,Consumer Discretionary,,,Specialized Consumer Services,Bright Horizons Family Solutions Inc.,sp600
BFH,Financials,,,Consumer Finance,"Bread Financial Holdings, Inc.",sp600
BFS,Real Estate,,,Retail REITs,"Saul Centers, Inc.",sp600
BGC,Financials,,,Investment Banking & Brokerage,"BGC Group, Inc.",sp600
BHE,Information Technology,,,Electronic Manufacturing Services,"Benchmark Electronics, Inc.",sp600
BJRI,Consumer Discretionary,,,Restaurants,"BJ's Restaurants, Inc.",sp600
BKE,Consumer Discretionary,,,Apparel Retail,"The Buckle, Inc.",sp600
BKU,Financials,,,Regional Banks,"BankUnited, Inc.",sp600
BL,Information Technology,,,Application Software,"BlackLine Systems, Inc.",sp600
BLFS,Health Care,,,Health Care Supplies,"BioLife Solutions, Inc.",sp600
BMI,Information Technology,,,Electronic Equipment & Instruments,"Badger Meter, Inc.",sp600
BNL,Real Estate,,,Industrial REITs,"Broadstone Net Lease, Inc.",sp600
BOH,Financials,,,Regional Banks,Bank of Hawaii,sp600
BOOT,Consumer Discretionary,,,Apparel Retail,"Boot Barn Holdings, Inc.",sp600
BOX,Information Technology,,,Application Software,"Box, Inc.",sp600
BRC,Industrials,,,Commercial Printing,Brady Corporation,sp600
BTSG,Health Care,,,Health Care Services,"BrightSpring Health Services, Inc.",sp600
BTU,Energy,,,Coal & Consumable Fuels,"Peabody Energy, Inc.",sp600
BXMT,Financials,,,Mortgage REITs,"Blackstone Mortgage Trust, Inc.",sp600
CABO,Communication Services,,,Cable & Satellite,Cable One,sp600
CAKE,Consumer Discretionary,,,Restaurants,"The Cheesecake Factory, Inc.",sp600
CALM,Consumer Staples,,,Packaged Foods & Meats,"Cal-Maine Foods, Inc.",sp600
CALX,Information Technology,,,Application Software,Calix,sp600
CALY,Consumer Discretionary,,,Leisure Products,Callaway Golf Company,sp600
CARG,Communication Services,,,Interactive Media & Services,CarGurus,sp600
CASH,Financials,,,Regional Banks,"Pathward Financial, Inc.",sp600
CATY,Financials,,,Regional Banks,Cathay General Bancorp,sp600
CBRL,Consumer Discretionary,,,Restaurants,Cracker Barrel,sp600
CBU,Financials,,,Regional Banks,"Community Bank System, Inc.",sp600
CC,Materials,,,Diversified Chemicals,Chemours,sp600
